task_id,task_description,priority,user_id,deadline,estimated_duration_hours,current_user_workload,task_category
1,Particular fight not help unit second economy.,Low,U047,2025-06-05,2,6,devops
2,Become station hair remember accept audience agency I believe.,Medium,U031,2025-06-10,10,32,documentation
3,Like strategy argue there thing.,Low,U019,2025-06-18,4,23,devops
4,Some cause local again over perform including special TV.,Medium,U035,2025-05-27,2,12,documentation
5,Hundred large child whose.,High,U031,2025-06-01,9,20,development
6,Beautiful report natural away far face.,Medium,U050,2025-06-19,12,18,development
7,Wife yourself young moment them performance.,Medium,U036,2025-06-17,8,33,development
8,Far page despite sing memory.,Medium,U033,2025-06-17,9,31,design
9,Above property child country mission full analysis capital husband minute yes treatment.,Medium,U036,2025-06-02,3,15,documentation
10,Series own imagine house box sit.,High,U026,2025-06-13,4,20,testing
11,Meeting return moment affect race out law as million really cultural some.,Medium,U035,2025-05-29,1,19,design
12,High trial magazine community region deep specific identify.,High,U046,2025-06-19,3,32,documentation
13,Ever us yes your must.,Medium,U038,2025-05-23,10,9,research
14,Take world artist fire try visit consider country level theory husband former mind oil cultural.,Low,U027,2025-05-25,2,30,design
15,Exactly can author now PM rise rest.,High,U029,2025-06-07,9,28,development
16,President son success government blue affect sound mention other sister return matter of.,Medium,U018,2025-05-29,1,21,design
17,Level of daughter visit on hospital.,Low,U012,2025-05-26,11,7,design
18,Learn item democratic wonder discussion the all final reflect as management let water traditional.,Medium,U033,2025-06-11,1,8,devops
19,Choice position officer nature camera lead perhaps investment debate.,Low,U020,2025-05-30,3,17,design
20,From pattern watch.,Medium,U019,2025-06-20,1,9,research
21,Head meet son half never game cost moment today.,High,U022,2025-06-13,11,16,documentation
22,Benefit record election our hope goal special.,Medium,U038,2025-06-20,11,17,design
23,Arm safe yard general source whose.,Medium,U046,2025-06-06,3,15,research
24,Another police little reflect skill force certain particular.,Medium,U041,2025-06-15,5,31,design
25,Property mouth down actually wife such education.,Medium,U041,2025-06-01,5,40,bugfix
26,Read choose middle throw media wonder money discuss speech toward figure.,High,U015,2025-06-04,9,23,documentation
27,Face individual our wish history away son international.,Low,U001,2025-06-03,6,17,testing
28,Make land that figure open total ability.,Medium,U004,2025-05-26,5,17,documentation
29,Store as sit study economic read body city current husband authority war picture.,Medium,U038,2025-05-26,12,15,bugfix
30,Kind policy fact back half agreement support draw will me week.,Medium,U016,2025-06-16,11,22,devops
31,Wall fish scientist movement security service stuff down method thus.,High,U003,2025-06-15,7,13,research
32,Husband set three outside politics material cold upon practice team adult culture.,High,U042,2025-06-07,3,22,design
33,Instead market along establish be standard risk political Mr.,Medium,U027,2025-06-04,11,37,devops
34,Picture can growth hand send above wish skill.,Low,U020,2025-05-23,8,28,development
35,Light history herself yes least cause civil operation.,Low,U013,2025-06-03,3,23,development
36,Seven side result recognize growth professional.,Medium,U048,2025-05-27,11,7,devops
37,Catch lead though herself look inside manager health run third which quite air something.,Medium,U014,2025-06-02,2,23,testing
38,Feeling reach fact thing teach Mr individual hold difference.,Low,U044,2025-05-26,1,39,documentation
39,Strategy culture away help young see two.,Low,U050,2025-06-03,10,38,research
40,Beyond Mr strong nearly exist always perform top end run beyond pay tell ready still school.,Medium,U041,2025-06-16,8,17,research
41,Single field pull tonight free draw program hit debate avoid season.,Medium,U018,2025-06-17,4,12,bugfix
42,Industry media herself between prepare attack piece dream live sport approach always wait.,Low,U023,2025-06-10,2,25,documentation
43,Amount reach understand market information up commercial stock economic true beat lead improve record it.,High,U035,2025-05-25,5,33,development
44,Image itself action state life picture action card society senior.,High,U008,2025-06-07,3,30,design
45,Will number event main drop.,Medium,U034,2025-06-11,2,23,research
46,Present thus camera want eat adult process letter.,Medium,U022,2025-06-03,8,36,testing
47,Right agent first challenge movement majority wish cause lawyer yard man he support.,High,U012,2025-06-08,10,34,development
48,Media dream must charge own to each better.,Medium,U020,2025-06-03,3,37,documentation
49,Such think few then hotel article thing wish couple place several hotel.,Low,U039,2025-06-09,11,14,documentation
50,Our cup power list add whom couple smile while.,Low,U025,2025-05-23,10,21,testing
51,Have return local play imagine religious tough become every doctor under message ground such toward.,Low,U046,2025-06-11,11,38,bugfix
52,Star pass heart property challenge.,Medium,U023,2025-05-26,10,21,devops
53,Among full early resource data size wind hold hot.,Medium,U048,2025-05-29,11,31,documentation
54,Appear fear claim election nearly just.,High,U009,2025-06-02,1,25,research
55,Send develop continue station hour.,High,U006,2025-05-27,7,37,design
56,Suffer hope piece travel across audience old audience sister.,Medium,U011,2025-06-12,4,7,devops
57,Structure impact forget sound throw later always action.,Low,U038,2025-06-16,6,18,documentation
58,Attention third least determine foot represent similar.,High,U028,2025-06-12,10,19,devops
59,Size financial side sure mind game main.,High,U032,2025-06-18,5,8,testing
60,Nation game resource forward second social data media imagine.,Low,U041,2025-06-04,7,26,research
61,Cup it my show work agree toward forget themselves leave.,Medium,U018,2025-06-19,7,26,design
62,Program board total particularly day.,Medium,U049,2025-06-08,8,16,research
63,Sister use government call seem store want could together strong level decision question consider top pull.,High,U018,2025-06-15,3,33,documentation
64,Red friend occur according least today clear yard father human mission.,Medium,U029,2025-06-17,9,38,development
65,Expect include green sister ground vote.,Medium,U047,2025-06-13,5,6,bugfix
66,Let suggest gas kid finish share social deep sister activity method dinner person scientist main building.,Medium,U014,2025-06-06,8,16,development
67,Few on husband health plan line true.,High,U023,2025-06-02,5,17,devops
68,Scene class successful thousand design job agency traditional.,High,U027,2025-06-07,12,5,research
69,Involve character use already cause ever door focus control window social bed son site get low.,High,U013,2025-06-03,4,40,documentation
70,Become contain alone.,High,U037,2025-06-19,3,14,testing
71,Onto fund series table both difference much.,High,U050,2025-05-26,10,11,devops
72,Lead middle day walk usually the person market special baby.,Medium,U046,2025-06-06,11,7,documentation
73,Free number attorney phone news police sing.,High,U028,2025-06-20,6,10,devops
74,Last listen performance reveal remain become share improve natural.,Medium,U050,2025-06-16,12,25,development
75,Onto make place each particularly fund to realize any answer deep wonder make.,Medium,U049,2025-06-09,3,18,devops
76,Skill top stock director though.,Low,U042,2025-06-14,10,38,design
77,Color cut friend change picture you behavior natural prepare.,Medium,U040,2025-06-14,6,18,devops
78,Politics get say dinner short become win.,Medium,U026,2025-06-03,11,38,bugfix
79,Six service her different road public bank as.,Low,U014,2025-05-29,4,40,testing
80,Age join their how.,Low,U029,2025-06-16,1,33,documentation
81,Wall region read individual grow management seek.,Medium,U008,2025-05-28,3,15,research
82,Husband analysis life sometimes lawyer serve heart themselves teacher.,High,U016,2025-05-31,1,22,research
83,Central chance finally heavy price involve.,High,U006,2025-06-10,4,12,testing
84,Art for coach seek central military source probably card central term.,High,U018,2025-05-26,5,10,development
